qnummer;snummer
q0783491;r0466642
q0749677;r0451899
q0731204;r0441942
q0646914;r0455309
q0754665;r0455611
q0646181;r0463431
q0769314;r0455632
q0645619;r0449518
q0759361;r0442935
q0643120;r0468375
q0652191;r0453537
q0649217;r0374253
q0754827;r0462438
q0646665;r0468042
q0668514;r0443596
q0642850;r0459156
q0738460;r0449083
q0645756;r0469881
q0731461;r0455599
q0820548;r0468345
q0766665;r0449033
q0646409;r0461966
q0661947;r0467766
q0657436;r0457293
q0658176;r0457257
q0668592;r0470215
q0738766;r0470029
q0755091;r0438930
q0823339;r0470678
q0782147;r0465426
q0646645;r0465440
q0762469;r0449259
q0731086;r0456567
q0738261;r0454568
q0754226;r0460654
q0729083;r0450190
q0731523;r0456033
q0751102;r0466111
q0682090;r0455568
q0471017;r0383052
q0645826;r0461392
q0749076;r0458781
q0738773;r0457940
q0471573;r0383723
q0682166;r0463928
q0765601;r0449445
q0731398;r0456365
q0670791;r0468553
q0639735;r0463117
q0714219;r0453361
q0662296;r0453574
q0600218;r0383085
q0667082;r0460616
q0668635;r0453962
q0714190;r0453728
q0600095;r0377662
q0652196;r0454363
q0750803;r0451530
q0646897;r0468667
q0667925;r0452935
q0647093;r0460371
q0602010;r0451031
q0634400;r0468649
q0748963;r0463107
q0471328;r0453736
q0477718;r0386030
q0738170;r0463173
q0673341;r0461335
q0767880;r0452700
q0682466;r0470585
q0730658;r0448897
q0663268;r0449284
q0759837;r0460699
q0465888;r0387799
q0645601;r0468314
q0600863;r0457744
q0645691;r0451783
q0467404;r0369410
q0761919;r0464149
q0753513;r0461274
q0730259;r0454205
q0468410;r0452602
q0658670;r0462744
q0765927;r0462381
q0646092;r0466016
q0667878;r0462551
q0600840;r0387292
q0771451;r0459932
q0670513;r0461255
q0754751;r0461968
q0660875;r0469106
q0645652;r0453871
q0662432;r0468337
q0652477;r0462564
q0668701;r0449627
q0869835;r0476096
q0769288;r0458835
q0757168;r0440915
q0230307;s0205145
q0662154;r0456087
q0472642;r0371869
q0765792;r0450196
q0626823;r0368798
q0614136;r0372629
q0590098;r0455386
q0447007;r0299067
q0614105;r0457766
q0730412;r0458066
q0781041;r0462505
q0442521;r0295224
q0657458;r0451224
q0662414;r0443564
q0643934;r0457559
q0626861;r0368984
q0670849;r0451774
q0646942;r0462725
q0754387;r0462469
q0477905;r0372445
q0662372;r0457386
q0240535;s0215353
q0823927;r0470345
q0738285;r0467737
q0507292;r0371172
q0662046;r0469228
q0661100;r0449105
q0649109;r0468698
q0616121;r0449276
q0792415;r0468092
q0763514;r0459101
q0460717;r0386805
q0657457;r0461664
q0479244;r0367732
q0646719;r0457051
q0652198;r0449667
q0714716;r0451712
q0682141;r0461716
q0649118;r0470166
q0044370;r0450751
q0645606;r0468040
q0658588;r0468321
q0646744;r0461871
q0631742;r0375097
q0768569;r0455520
q0662136;r0453584
q0600248;r0458882
q0613886;r0373553
q0652478;r0453553
q0761581;r0453578
q0661122;r0470240
q0660866;r0453462
q0739110;r0462683
q0467020;r0367524
q0647109;r0455360
q0670283;r0450685
q0771449;r0465424
q0766162;r0469544
q0617362;r0449873
q0460718;r0452110
q0652150;r0468545
q0670469;r0469563
q0762826;r0461395
q0657180;r0460701
q0646100;r0449358
q0739205;r0470629
q0645530;r0458758
q0670704;r0462738
q0754626;r0449301
q0730848;r0456792
q0758478;r0442231
q0661729;r0462463
q0682243;r0457650
q0471828;r0369990
q0475466;r0383873
q0682143;r0460664
q0612851;r0468017
q0683626;r0462123
q0644411;r0470037
q0753588;r0468372
q0670928;r0454904
q0658486;r0464865
q0647111;r0457330
q0670214;r0456628
q0645894;r0470627
q0762471;r0466856
q0729227;r0457748
q0670930;r0456876
q0645947;r0470536
q0507389;r0388261
q0669382;r0454653
q0766652;r0449242
q0645988;r0459213
q0792411;r0468538
q0663934;r0449344
q0612916;r0451554
q0645598;r0452013
q0750716;r0443450
q0754661;r0466824
q0613315;r0450895
q0682542;r0467790
q0749075;r0449486
q0568088;r0470028
q0473426;r0373930
q0766653;r0451962
q0601842;r0467824
q0771645;r0460203
q0471307;r0384814
q0738384;r0467759
q0646567;r0453198
q0624964;r0366761
q0624964;u0096378
q0513119;r0378219
q0752452;r0466106
q0750715;r0469583
q0658591;r0451248
q0467904;r0378617
q0652200;r0443576
q0473315;r0385601
q0620191;r0364632
q0658270;r0457258
q0600147;r0454179
q0649124;r0469145
q0650011;r0466649
q0645269;r0452787
q0731228;r0468591
q0682544;r0467789
q0663271;r0462339
q0646331;r0463303
q0750382;r0460623
q0644832;r0449461
q0647116;r0467311
q0643123;r0450657
q0654518;r0463229
q0662280;r0450160
q0612925;r0452632
q0824606;r0471308
q0646012;r0466626
q0458566;r0373477
q0763313;r0449620
q0475366;r0386766
q0646724;r0458483
q0646317;r0453866
q0670217;r0462414
q0657186;r0454830
q0670933;r0464564
q0639180;r0443581
q0669473;r0449571
q0738304;r0462690
q0645980;r0467721
q0668855;r0462130
q0601996;r0455009
q0738769;r0456700
q0645368;r0450853
q0731664;r0460610
q0652182;r0465037
q0668866;r0449361
q0647330;r0449471
q0674861;r0452014
q0649129;r0451924
q0730630;r0463260
q0633916;r0378274
q0646457;r0441956
q0781373;r0463843
q0646961;r0443583
q0646857;r0456467
q0766226;r0458000
q0714056;r0454841
q0714292;r0456121
q0738445;r0468280
q0730391;r0461225
q0714025;r0443584
q0668865;r0457046
q0612656;r0449834
q0738677;r0468364
q0645609;r0467573
q0730416;r0457271
q0668829;r0456675
q0663076;r0467722
q0669442;r0454448
q0645819;r0460328
q0669584;r0456556
q0668867;r0458284
q0670823;r0455349
q0624707;r0460361
q0768372;r0453533
q0752805;r0469354
q0669476;r0463175
q0683437;r0454731
q0481415;r0374017
q0467304;r0383143
q0396735;r0252274
q0731348;r0450408
q0612761;r0381798
q0238333;s0213146
q0468296;r0369676
q0448869;r0301305
q0753594;r0461821
q0731477;r0463305
q0738681;r0470470
q0765669;r0457105
q0752545;r0469333
q0620580;r0451387
q0612681;r0370950
q0677424;r0457302
q0471395;r0366545
q0599767;r0456266
q0660812;r0458538
q0646011;r0455175
q0646650;r0451510
q0682245;r0449085
q0645997;r0461418
q0667931;r0468293
q0738947;r0458789
q0470592;r0469597
q0229554;s0204341
q0646718;r0458485
q0738327;r0467825
q0660931;r0457243
q0600003;r0453979
q0225104;s0199774
q0646091;r0453833
q0600051;r0456779
q0670287;r0454584
q0646451;r0451735
q0661076;r0467798
q0754745;r0467706
q0650340;r0452735
q0739132;r0469869
q0660811;r0460627
q0754223;r0456393
q0645893;r0454897
q0472258;r0386941
q0730638;r0458916
q0731230;r0457538
q0647115;r0458060
q0645246;r0451012
q0730666;r0468677
q0614147;r0449041
q0674173;r0467715
q0782345;r0461331
q0474878;r0388254
q0662380;r0468519
q0472202;r0367604
q0760129;r0443589
q0667098;r0464150
q0647329;r0456110
q0682737;r0449441
q0667115;r0456027
q0667320;r0453539
q0754772;r0460096
q0663212;r0450263
q0646890;r0458031
q0754671;r0461946
q0646423;r0442235
q0765426;r0465955
q0652151;r0458664
q0766266;r0459077
q0639617;r0385573
q0753003;r0454359
q0738948;r0448871
q0630675;r0373785
q0761246;r0464772
q0714040;r0461323
q0669722;r0450619
q0738467;r0458510
q0663995;r0455618
q0475976;r0379362
q0652481;r0461529
q0666046;r0468265
q0667949;r0451920
q0662367;r0467758
q0674465;r0457095
q0682140;r0455880
q0738713;r0468699
q0663138;r0463170
q0657217;r0458451
q0754660;r0454856
q0646536;r0452630
q0738949;r0449345
q0729766;r0449416
q0647071;r0449457
q0677480;r0457516
q0670705;r0453988
